Nummer,DatumderDSCMessung_Probe,Untersuchung,Probenhalter,mTara,mProben,dHm_90_150,Ø;sigma_90_150,Tm_90_150,dHc_60_125,Ø;sigma.1_60_125,Tc_60_125,w(dHm)_60_125,w(dHc)_60_125,Anreicherungsrate,Unnamed:15,Unnamed:16
L001,26-06-2020_Mod.S+PE_1_25 ppm,10K/Min hkh -50 bis 300°C,Lucas Proben_A1,51.93,8.34,5.675,,130.7,-6.276,,118.8,,,2.5e-05,,
L002,,,Lucas Proben_A2,51.91,8.49,4.522,5.093666666666667,130.8,-5.199,-5.781666666666666,118.8,0.03100223168999797,0.032070482952444336,1240.0892675999187,1282.8193180977735,
L003,,,Lucas Proben_A3,51.57,7.86,5.084,0.5765607802594043,130.7,-5.87,0.5439065483457001,118.9,0.59626496401212,0.5531094142478544,,,
L004,26-06-2020_Mod.S+PE_1_50 ppm,,Lucas Proben_A4,51.54,8.59,4.175,,130.3,-5.263,,119.0,,,5e-05,,
L005,,,Lucas Proben_A5,51.32,8.39,5.796,5.085666666666667,130.5,-6.464,-5.874,119.0,0.030953540271860414,0.032582649212336355,619.0708054372083,651.6529842467271,165.9
L006,,,Lucas Proben_A6,51.76,9.57,5.286,0.828860864882239,130.5,-5.895,0.60077533238308,119.0,0.857187499898458,0.6109404146716824,,,164.1
L007,26-06-2020_Mod.S+PE_1_80 ppm,,Lucas Proben_A7,51.64,7.68,16.3,,130.7,-17.77,,118.9,,,8e-05,,164.4
L008,,,Lucas Proben_A8,51.22,7.35,19.49,18.333333333333332,131.2,-21.26,-20.093333333333334,118.6,0.11158449989855954,0.1114562532357074,1394.8062487319942,1393.2031654463424,163.5
L009,,,Lucas Proben_A9,51.37,7.75,19.21,1.7664748323520862,131.0,-21.25,2.012071900637086,118.8,1.8268447809905508,2.046116035504326,,,163.6
L010,26-06-2020_Mod.S+PE_1_100 ppm,,Lucas Proben_A10,52.15,7.41,17.85,,130.3,-20.26,,117.7,,,0.0001,,
L011,,,Lucas Proben_A11,51.38,7.96,16.75,17.623333333333335,131.0,-18.38,-19.573333333333334,118.7,0.1072631365388517,0.10857185119443827,1072.631365388517,1085.7185119443827,
L012,,,Lucas Proben_A12,51.62,9.64,18.27,0.7849416114166285,131.2,-20.08,1.0373684655576025,118.6,0.8117672892567817,1.0549206772540547,,,
L013,10-07-2020_Mod.S+PE_2_100 ppm,10K/Min hkh -50 bis 300°C,Lucas Proben_B1,n.a,12.28,10.05,,130.7,-11.19,,118.9,,,Ausreißer,Diskussion zur Homgenität,
L014,,,Lucas Proben_B2,,9.05,16.36,,130.6,-18.02,,119.0,,,,,
L015,,,Lucas Proben_B3,,11.81,17.52,16.84,131.0,-18.97,-18.473333333333333,118.7,0.1024954351795496,0.10247023149175355,,,
L016,,,Lucas Proben_B4,,11.32,16.64,0.6053098380168621,130.8,-18.43,0.4764801499887828,118.9,0.6259965317427945,0.4845421653087347,,,
L017,10-07-2020_Mod.S+PE_3_60 ppm,,Lucas Proben_B5,,7.71,15.63,,131.5,-17.13,,118.3,,,,,
L018,,,Lucas Proben_B6,,8.32,16.14,15.860000000000001,130.9,-17.83,-17.429999999999996,118.8,0.09653073645769933,0.09668293765254045,,,
L019,,,Lucas Proben_B7,,11.54,15.81,0.25865034312755114,130.8,-17.33,0.3605551275463986,118.9,0.26748981688848794,0.3666556984978532,,,
L020,10-07-2020_Mod.S+PE_2_40 ppm,,Lucas Proben_B8,,11.02,12,,130.7,-13.22,,118.9,,,,,
L021,,,Lucas Proben_B9,,12.29,12.06,11.453333333333333,130.8,-13.52,-12.753333333333336,118.9,0.06970988030026373,0.07074180903779306,,,
L022,,,Lucas Proben_B10,,10.86,10.3,0.9992663975804114,130.8,-11.52,1.078579312490896,118.8,1.0334167064289945,1.096828809224998,,,
L023,10-07-2020_Mod.S+PE_0 ppm BW nach Separator,,Lucas Proben_B11,,10.41,0.495,0.3614,130.4,-0.3236,-0.25215,118.9,0.002199634814363968,0.0013986576436654091,,,
L024,,,Lucas Proben_B12,,10.11,0.2278,0.18893893193304548,130.5,-0.1807,0.10104555903155778,119.0,0.19539599172676853,0.10275524377906446,,,
L025,13-07-2020_BW_SAND_Roh,,Lucas Proben_C1,,37.08,0.1686,,92.1,-0.1723,,91.8,,,,,
L026,Modellsand ohne PE ohne Separation,,Lucas Proben_C2,,37.24,0.1767,,148.9,-0.1729,,91.5,,,,,
L027,15-07-2020_ModS-PE-100ppm-3,,Lucas Proben_C3,,8.3,20.14,18.37,131.1,-21.91,-20.163333333333338,119.0,0.11180766889835667,0.11184453812587827,,,
L028,,,Lucas Proben_C4,,11.44,17.23,1.5539305003763846,130.9,-18.82,1.2933247422395076,119.2,1.6070366657048516,1.315207718657,,,
L029,,,Lucas Proben_C5,,9.31,17.74,,131.0,-19.76,,118.8,,,,,
L030,ModS-PE-80ppm-2,,Lucas Proben_C6,,8.95,12.67,12.913333333333334,130.1,-14.29,-14.423333333333332,118.7,,,,,
L031,,,Lucas Proben_C7,,10.94,13.4,0.4214656965084271,130.6,-15,0.42695302890234754,118.9,,,,,
L032,,,Lucas Proben_C8,,10.64,12.67,,130.6,-13.98,,118.6,,,,,
L033,ModS-PE-80ppm-3,,Lucas Proben_C9,,8.98,15.27,15.803333333333333,130.6,-17.09,-17.66,119.0,,,,,
L034,,,Lucas Proben_C10,,9.8,17.41,1.417368453625709,130.8,-19.14,1.0556830332380394,118.8,,,,,
L035,,,Lucas Proben_C11,,9.06,14.73,,130.6,-16.75,,118.9,,,,,
L036,ModS-PE-60ppm-1,,Lucas Proben_C12,,9.02,16.5,16.113333333333333,130.9,-18.67,-17.786666666666665,118.8,,,,,
L037,,,Lucas Proben_D1,,9.8,16.99,1.121174978909774,130.9,-18.71,1.277610617085225,118.7,,,,,
L038,,,Lucas Proben_D2,,11.48,14.85,,130.7,-15.98,,118.7,,,,,
L039,ModS-PE-60ppm-2,,Lucas Proben_D3,,10.99,8.096,8.046666666666667,130.8,-8.856,-8.829333333333333,118.7,,,,,
L040,,,Lucas Proben_D4,,11.72,8.224,0.20646872240931147,130.6,-8.862,0.04202644669993216,118.8,,,,,
L041,,,Lucas Proben_D5,,10.19,7.82,,130.4,-8.77,,188.9,,,,,
L042,ModS-PE-40ppm-1,,Lucas Proben_D6,,12.0,5.39,5.1419999999999995,130.7,-6.176,-5.878666666666667,118.7,,,,,
L043,,,Lucas Proben_D7,,11.09,5.115,0.2356628948307303,130.8,-5.779,0.2140192099373845,118.5,,,,,
L044,,,Lucas Proben_D8,,10.89,4.921,,130.7,-5.681,,118.8,,,,,
L045,ModS-PE-40ppm-3,,Lucas Proben_D9,,9.78,11.65,11.46,131.0,-12.74,-12.7625,118.6,,,,,
L046,,,Lucas Proben_D10,,9.15,11.36,0.34746702481434644,130.5,-12.81,0.24200981385059567,116.4,,,,,
L047,,,Lucas Proben_D11,,8.69,11.02,,13.6,-12.41,,118.8,,,,,
L048,,,Lucas Proben_D12,,8.82,11.81,,130.8,-13.09,,118.6,,,,,
L049,ModS-PE-20ppm-1,,Lucas Proben_E1,,13.1,3.999,4.587666666666667,130.5,-4.667,-5.4173333333333344,118.8,,,,,
L050,,,Lucas Proben_E2,,11.82,4.792,0.5176836228173858,130.7,-5.738,0.5324286076294384,118.6,,,,,
L051,,,Lucas Proben_E3,,11.7,4.972,,131.0,-5.847,,118.6,,,,,
L052,ModS-PE-20ppm-2,,Lucas Proben_E4,,10.57,3.966,4.000333333333333,130.8,-4.86,-4.7636666666666665,118.7,,,,,
L053,,,Lucas Proben_E5,,12.14,4.237,0.2215047027341256,130.7,-5.082,0.30690099742787114,118.8,,,,,
L054,,,Lucas Proben_E6,,10.38,3.798,,130.7,-4.349,,118.8,,,,,
L055,ModS-PE-10ppm-1,,Lucas Proben_E7,,16.98,1.825,1.513,130.7,-2.333,-1.946,118.8,,,,,
L056,,,Lucas Proben_E8,,15.25,1.115,0.36272854864209503,130.7,-1.462,0.3621390156647958,118.8,,,,,
L057,,,Lucas Proben_E9,,16.16,1.599,,130.8,-2.043,,118.8,,,,,
L058,ModS-PE-10ppm-2,,Lucas Proben_E10,,13.74,1.742,1.6606666666666665,130.8,-2.219,-2.0816666666666666,118.7,,,,,
L059,,,Lucas Proben_E11,,16.07,1.566,0.0887543426167606,130.5,-1.928,0.11936033214133111,118.7,,,,,
L060,,,Lucas Proben_E12,,13.76,1.674,,130.6,-2.098,,118.8,,,,,
L061,ModS-PE-5ppm-1,,Lucas Proben_F1,,15.15,0.3462,0.4116666666666667,130.5,-0.7525,-0.7910666666666666,118.8,,,,,
L062,,,Lucas Proben_F2,,14.44,0.4414,0.05677511191828034,129.8,-0.8215,0.028750227052243556,118.9,,,,,
L063,,,Lucas Proben_F3,,15.66,0.4474,,131.0,-0.7992,,118.4,,,,,
