Zusammensetzung_Matrix,Zusammensetzung_Masse_Polymer_g,Auswertung_Masse_Polymerfraktion_nach_DS_g,Auswertung_Schmelzenthalpie_J/g,Auswertung_σ_J/g,"Auswertung_ω_PE_(191,35_J/g)_%",Auswertung_Toleranz_%,Auswertung_Masse_PE_in_Zielfraktion_g,Auswertung_Anzahl_Einzelbestimmungen_n,Auswertung_WFR_%,Auswertung_Toleanz_%,mProben,Ø;sigma_90_150,Tm_90_150,Tiegeleinwage_mg,Schmelzenthalpie_J/g,"ω_PE_(191,35_J/g)__",Masse_PE_im_Tiegel_mg,Mittelwert_mg,Stabw.s_mg,Partikle_pro_Tiegel__,Mittelwert_über_alle_Proben_mit_der_selben_MP-Konz._mg,stabw.s
PF Sand,0.1001,0.0858,129.5,3.328663395418657,67.67703161745493,1.7395680143290606,0.05806689312777633,3.0,58.0088842435328,1.4910582979963378,3.66,,,1.11,133.3,0.6966292134831461,0.7732584269662922,0.7311662747147462,0.03900888403728581,429.5880149812735,411.7866233100098,19.725073809951578
PF Sand,0.1008,0.0692,128.86666666666667,4.605793453177561,67.34604999564499,2.4069994529279124,0.04660346659698633,3.0,46.23359781447057,1.6524242276052732,3.52,,,1.04,128.1,0.6694538803240135,0.6962320355369741,0.7311662747147462,0.03900888403728581,386.79557529831897,411.7866233100098,19.725073809951578
PF Sand,0.0596,0.0467,137.86666666666667,11.673188653205823,72.04947304241792,6.100438282312947,0.03364710391080916,3.0,56.45487233357242,4.7800414057720575,3.25,,,1.09,127.1,0.6642278547164882,0.7240083616409722,0.7311662747147462,0.03900888403728581,402.22686757831787,411.7866233100098,19.725073809951578
PF Sand,0.0595,0.0496,135.2,0.5567764362830011,70.65586621374445,0.2909727913681741,0.03504530964201724,3.0,58.89968007061721,0.2425588311237216,3.04,,,1.13,124.4,0.6501175855761694,0.7346328717010714,0.7512655692012892,0.03642604679577668,408.1293731672619,411.7866233100098,19.725073809951578
PF Sand,0.0198,0.0163,148.66666666666666,1.677299416721212,77.69358069854542,0.8765609703272601,0.012664053653862901,3.0,63.959866938701516,0.7216133240572896,3.03,,,1.18,128.6,0.6720668931277763,0.7930389338907761,0.7512655692012892,0.03642604679577668,440.5771854948756,411.7866233100098,19.725073809951578
PF Sand,0.02,0.0169,140.46666666666667,5.953430383680778,73.40823970037454,3.111277963773597,0.012405992509363296,3.0,62.02996254681648,2.629029879388689,2.67,,,1.04,133.6,0.6981970211654037,0.7261249020120198,0.7512655692012892,0.03642604679577668,403.40272334001105,411.7866233100098,19.725073809951578
PF Elbe,0.01,0.0203,90.54,20.92002151050525,47.31643585053567,10.932856812388426,0.00960523647765874,3.0,96.05236477658741,22.193699329148505,0.95,90.54,130.8,1.02,144.1,0.7530702900444212,0.7681316958453096,0.7432087797230206,0.08346866569126234,426.739831025172,414.49109156190417,29.538008988329956
PF Elbe,0.0102,0.0501,30.72666666666667,17.623635644591985,16.057834683389952,9.210157117633647,0.008044975176378366,3.0,78.8723056507683,45.23812466602409,1.15,30.72666666666667,130.4,1.0,124.4,0.6501175855761694,0.6501175855761694,0.7432087797230206,0.08346866569126234,361.1764364312052,414.49109156190417,29.538008988329956
PF Elbe,0.006,0.0232,70.15666666666668,11.248228008594603,36.66405365386291,5.8783527612200706,0.008506060447696195,3.0,141.7676741282699,22.729630676717605,0.91,70.15666666666668,131.4,1.07,145.1,0.7582963156519467,0.811377057747583,0.7432087797230206,0.08346866569126234,450.76503208199057,414.49109156190417,29.538008988329956
PF Elbe,0.0059,0.0182,40.24666666666667,6.832000683060027,21.033011061754205,3.570421052030325,0.0038280080132392655,3.0,64.88149174981807,11.013841211347785,0.95,40.24666666666667,131.6,1.06,134.6,0.7034230467729292,0.745628429579305,0.7489591498998345,0.008682337087400079,414.23801643294723,414.49109156190417,29.538008988329956
