,Probe,Cluster
0,L001,1
1,L002,1
2,L003,1
3,L004,1
4,L005,1
5,L006,1
6,L007,1
7,L008,1
8,L009,1
9,L010,1
10,L011,1
11,L012,1
12,L013,1
13,L014,1
14,L015,1
15,L016,1
16,L017,1
17,L018,1
18,L019,1
19,L020,1
20,L021,1
21,L022,1
22,L023,1
23,L024,1
24,L025 BW,1
25,L026-BW,1
26,L027,1
27,L028,1
28,L029,1
29,L030,1
30,L031,1
31,L032,1
32,L033,1
33,L034,1
34,L035,1
35,L036,1
36,L037,1
37,L038,1
38,L039,1
39,L040,1
40,L041,1
41,L042,1
42,L043,1
43,L044,1
44,L045,1
45,L046,1
46,L047,1
47,L048,1
48,L049,1
49,L050,1
50,L051,1
51,L052,1
52,L053,1
53,L054,1
54,L055,1
55,L056,1
56,L057,1
57,L058,1
58,L059,1
59,L060,1
60,L061,1
61,L062,1
62,L063,1
63,L064,1
64,L065,1
65,L066,1
66,L067,1
67,L068,1
68,L069,1
69,L070,1
70,L071,1
71,L072,1
72,L073,1
73,L074,1
74,L075,1
75,L076,1
76,L077,1
77,L079,1
78,L080,1
79,L081,1
80,L082,1
81,L083,1
82,L084,1
83,L085,1
84,L086,1
85,L087,1
86,L088,1
87,L089,1
88,L090,1
89,L091,1
90,L092,1
91,L093,1
92,L094,1
93,L095,1
94,L096,1
95,L097,1
96,L098,1
97,L099,1
98,L100,1
99,L101,1
100,L102,1
101,L103,1
102,L104,1
103,L105,1
104,L106,1
105,L107,1
106,L108,1
107,L109,1
108,L110,1
109,L111,1
110,L112,1
111,L113,1
112,L114,1
113,L115,1
114,L116,1
115,L117,1
116,L118,1
117,L119,1
118,L120,1
119,L121,1
120,L122,1
121,L123,1
122,L124,1
123,L125,1
124,L126,1
125,L127,1
126,L128,1
127,L129,1
128,L130,1
129,L131,1
130,L132,1
131,L133,1
132,L134,1
133,L135,1
134,L136,1
135,L137,1
136,L138,1
137,L139,1
138,L140,1
139,L141,1
140,L142,1
141,L143,1
142,L144,1
143,L145,1
144,L146,1
145,L147,1
146,L148,1
147,L149,1
148,L150,1
149,L151,1
150,L152,1
151,L153,1
152,L154,1
153,L155,1
154,L156,1
155,L157,1
156,L158,1
157,L159,1
158,L160,1
159,L161,1
160,L162,1
161,L163,1
162,L164,1
163,L165,1
164,L166,1
165,L167,1
166,L168,1
167,L169,1
168,L170,1
169,L171,1
170,L172,1
171,L173,1
172,L174,1
173,L175,1
174,L176,1
175,L178,1
176,L179,1
177,L180,1
178,L181,1
179,L182,1
180,L183,1
181,L184,1
182,L185,1
183,L186,1
184,L187,1
185,L188,1
186,L189,1
187,L190,1
188,L191,1
189,L192,1
190,L193,1
191,L194,1
192,L195,1
193,L196,1
194,L197,1
195,L198,1
196,L199,1
197,L200,1
198,L201,1
199,L202,1
200,L203,1
201,L204,1
202,L205,1
203,L206,1
204,L207,1
205,L208,1
206,L209,1
207,L210,1
208,L211,1
209,L212,1
210,L213,1
211,L214,1
212,L215,1
213,L216,1
214,L217,1
215,L218,1
216,L219,1
217,L220,1
218,L221,1
219,L222,1
220,L223,1
221,L224,1
222,L225,1
223,L226,1
224,L227,1
225,L228,1
226,L229,1
227,L230,1
228,L231,1
229,L232,1
230,L233,1
231,L234,1
232,L235,1
233,L236,1
234,L237,1
235,L238,1
236,L239,1
237,L240,1
238,L241,1
239,L242,1
240,L243,1
241,L244,1
242,L245,1
243,L246,1
244,L247,1
245,L248,1
246,L249,1
247,L250,1
248,L251,1
249,L252,1
250,L259,1
251,L260,1
252,L261,1
253,L262,1
254,L263,1
255,L264,1
256,L265,1
257,L266,1
258,L267,1
259,L268,1
260,L269,1
261,L270,1
262,L271,1
263,L272,1
264,L273,1
265,L274,1
266,L275,1
267,L276,1
268,L277,1
269,L278,1
270,L279,1
271,L280,1
272,L281,1
273,L282,1
274,L283,1
275,L284,1
276,L285,1
277,L286,1
278,L287,1
279,L288,1
280,L289,1
281,L290,1
282,L291,1
283,L292,1
284,L293,1
285,L294,1
286,L295,1
287,L296,1
288,L297,1
289,L298,1
290,L299,1
291,L300,1
292,L322,5
293,L323,5
294,L324,4
295,L325,3
296,L326,2
297,L327,4
298,L328,5
299,L329,5
300,L330,5
301,L331,2
302,L332,2
303,L333,2
304,L334,2
305,L335,2
306,L336,2
307,L337,4
308,L338,4
309,L339,4
310,L340,4
311,L341,2
312,L342,3
313,L343,2
314,L344,2
315,L345,3
316,L346,3
317,L347,3
318,L348,2
319,L349,2
320,L350,3
321,L351,3
322,L352,1
323,L353,4
324,L354,4
325,L355,3
326,L356,2
327,L357,2
328,L358,5
329,L359,5
330,L360,5
331,L361,4
332,L362,4
333,L363,5
334,L364,4
335,L365,5
336,L366,5
337,L367,4
338,L368,3
339,L369,4
340,L370,5
341,L371,3
342,L372,4
343,L373,5
344,L374,5
345,L375,5
346,L376,1
347,L377,1
348,L378,1
349,L379,1
350,L380,1
351,L381,1
352,L382,1
353,L383,1
354,L384,1
355,L385,1
356,L386,1
357,L387,1
