Probe,"[-25, -5)","[-5, 15)","[15, 35)","[35, 55)","[55, 75)","[75, 95)","[95, 115)","[115, 135)","[135, 155)","[155, 175)","[175, 195)","[195, 215)","[215, 235)","[235, 255)","[255, 275)",Overall_Cluster
L001,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L002,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L003,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L004,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L005,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L006,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L007,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L008,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L009,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L010,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L011,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L012,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L013,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L014,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L015,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L016,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L017,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L018,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L019,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L020,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L021,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L022,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L023,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L024,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L025 BW,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L026-BW,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L027,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
L028,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
